name,id,lat,lon,capacity
"Belvedere Road 1, South Bank",273,51.50613324,-0.114686385,0
"Warwick Road, Olympia",274,51.49671237,-0.20528437,0
"Barbican Centre, Barbican",275,51.52004497,-0.092176447,0
"Lower Thames Street, Monument",276,51.50930161,-0.084985356,0
"Kensington Church Street, Kensington",277,51.50315739,-0.191496313,0
"Tooley Street, Bermondsey",278,51.5034938,-0.07962099,2
"North Wharf Road, Paddington",279,51.51862243,-0.176645823,2
"Royal Avenue 2, Chelsea",280,51.490083,-0.162418,0
"Smith Square, Westminster",281,51.49580589,-0.127575233,0
"Royal London Hospital, Whitechapel",282,51.518675,-0.06111,1
"Kingsway, Covent Garden",283,51.51440928,-0.118478757,0
"Lambeth North Station, Waterloo",284,51.49914063,-0.112031483,1
"St. John's Wood Road, St. John's Wood",286,51.5272947,-0.174653609,0
"Bedford Way, Bloomsbury",287,51.52367314,-0.128377673,0
"Elizabeth Bridge, Victoria",288,51.49236962,-0.147478734,0
"South Audley Street, Mayfair",289,51.50923022,-0.151296092,0
"St Mary's Hospital, Paddington",290,51.518268,-0.17110323,0
"Claverton Street, Pimlico",291,51.48483991,-0.138089062,1
"Montpelier Street, Knightsbridge",292,51.49888404,-0.165471605,0
"Kensington Olympia Station, Olympia",293,51.49815779,-0.209494128,1
"St. George's Square, Pimlico",294,51.488226,-0.135635511,1
"Swan Street, The Borough",295,51.50029631,-0.092762704,1
"Knaresborough Place, Earl's Court",296,51.49363156,-0.190603326,0
"Geraldine Street, Elephant & Castle",297,51.49612799,-0.106000855,0
"Curlew Street, Shad Thames",298,51.50227992,-0.074189225,0
"Vincent Square, Westminster",299,51.49398524,-0.136928582,1
"Serpentine Car Park, Hyde Park",300,51.505014,-0.17306032,0
"Marylebone Lane, Marylebone",301,51.51475963,-0.148105415,0
"Putney Pier, Wandsworth",302,51.466907,-0.216573,3
"Albert Gate, Hyde Park",303,51.50295379,-0.158456089,0
"Rathbone Street, Fitzrovia",306,51.51816295,-0.135025698,0
"Black Lion Gate, Kensington Gardens",307,51.50990837,-0.187842717,1
"Long Lane , Bermondsey",308,51.49907558,-0.085666316,0
"Embankment (Savoy), Strand",309,51.50963123,-0.119047563,0
"Black Prince Road, Vauxhall",310,51.4908679,-0.116911864,1
"Foley Street, Fitzrovia",311,51.51918144,-0.140485596,0
"Grove End Road, St. John's Wood",312,51.53088935,-0.176770502,3
"Wells Street, Fitzrovia",313,51.51734403,-0.138072691,0
"Tyers Gate, Bermondsey",314,51.50088934,-0.083159352,1
"The Tennis Courts, The Regent's Park",315,51.52536703,-0.153463612,0
"Warwick Row, Westminster",316,51.497998,-0.14296064,0
"Dickens Square, Borough",317,51.49679128,-0.093913472,0
"Sackville Street, Mayfair",318,51.51004801,-0.138846453,0
"Baldwin Street, St. Luke's",319,51.52702563,-0.088542771,0
"Queen Mother Sports Centre, Victoria",320,51.49357351,-0.139956043,1
"Bermondsey Street, Bermondsey",321,51.49785559,-0.081608045,0
"Palissy Street, Shoreditch",322,51.526293,-0.073955,1
"Clifton Street, Shoreditch",323,51.523196,-0.083067,3
"Ontario Street, Elephant & Castle",324,51.49652013,-0.101384068,0
"St. Martin's Street, West End",325,51.50908747,-0.129697889,0
"Graham Street, Angel",326,51.53266186,-0.099981142,1
"New North Road 2, Hoxton",328,51.53114,-0.086016,0
